org_id,org_name,org_type,homepage_url,jobs_url,canonical_jobs_url,jobs_source_type,adapter,confidence,discovered_via,last_verified,notes,manual_review,column
,City of Vaughan,municipality,https://www.vaughan.ca/,https://cityofvaughan.njoyn.com/cl4/xweb/xweb.asp?tbtoken=bFtQRxkXCBJxZHd4MlNUCFs8Am1EcCBYd0hYVVB4ExAtKDYfKDdpLiUuQC4kXhMGAwkbUxFSSnUqWA%3D%3D&chk=ZVpaShw%3D&page=joblisting&CLID=74035,https://validate.perfdrive.com/?ssa=85760192-617b-4c4b-8b2b-2c9385b07003&ssb=36275216803&ssc=https%3A%2F%2Fcityofvaughan.njoyn.com%2Fcl4%2Fxweb%2Fxweb.asp%3FCLID%3D74035%26page%3Djoblisting%26lang%3D1&ssi=5920602b-dcvu-4e36-b3d5-8bf5cdc892df&ssk=botmanager_support%40radware.com&ssm=97589374178136265139484439884428&ssn=94f9c6c47f1995e4df302ac24296dcd18e78fa462e75-f1a7-4c73-bd706d&sso=1038279c-cc9e7d1432c38084f67cfe2a66c889870e4a91075e8efee5&ssp=55890971611771670303177163558987248&ssq=69766443313391727759133132325074037575018&ssr=MjAuNTcuNDcuMjI3&sst=OntarioJobBot%2F1.0+%28+https%3A%2F%2Fgithub.com%2Fradiobyline%2FOntario-Job-Bot%29&ssu=&ssv=&ssw=&ssx=eyJfX3V6bWYiOiI3ZjkwMDBmYTQ2MmU3NS1mMWE3LTRjNzMtYjc5Yy1jYzllN2QxNDMyYzMxLTE3NzE2MzMxMzI4OTQ2NDUtMDAyYzI1ZWNkMWQxOGY3ZjliODEzIiwicmQiOiJuam95bi5jb20iLCJ1em14IjoiN2Y5MDAwNTU3ZGQ2MjUtYjgzYS00ZGYxLTg3OTUtYTdmZjcyZGE2OGQyMS0xNzcxNjMzMTMyODk0NjQ1LWNkOTZmMzJjOTMwODdmZTcxMyJ9,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,NJOYN ATS; Embeded List / Position ID Hyperlinked
,City of Woodstock,municipality,https://www.cityofwoodstock.ca/en/index.aspx,https://cityofwoodstock.applytojob.com/,https://cityofwoodstock.applytojob.com/,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,JazzHR / Apply to Job ATS
,Town of Cobalt,municipality,https://cobalt.ca/,https://cobalt.ca/residents/municipal-services/employment-opportunities,https://cobalt.ca/residents/municipal-services/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,PDF image of job posting
,Town of Cochrane,municipality,https://cochraneontario.com/,https://cochraneontario.com/living/employment-opportunities,https://cochraneontario.com/living/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,Link to HTML page / displayed PDF
,Constance Lake,first_nation,https://constancelake.ca/,,,,,,,,,1,
,Chippewas of the Thames First Nation,first_nation,https://cottfn.com/,https://cottfn.com/jobs/,https://cottfn.com/jobs,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,Link to HTML
,County of Brant,municipality,https://www.brant.ca/en/index.aspx,https://countyofbrant.applytojob.com/apply,https://countyofbrant.applytojob.com/apply,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,JazzHR / Apply to Job ATS
,Curve Lake,first_nation,https://curvelakefirstnation.ca/,https://curvelakefirstnation.ca/employment/,https://curvelakefirstnation.ca/employment,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Link to HTML / Summarize Title / RFPs Included
,Delaware,first_nation,https://delawarenation.on.ca/,https://delawarenation.on.ca/category/employment/,https://delawarenation.on.ca/category/employment,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Link to HTML / ""Continue Reading"" Button"
,Moravian of the Thames,first_nation,https://delawarenation.on.ca/,https://delawarenation.on.ca/category/employment/,https://delawarenation.on.ca/category/employment,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Link to HTML / ""Continue Reading"" Button"
,Dokis,first_nation,https://dokis.ca/,https://dokis.ca/employment-services,https://dokis.ca/employment-services,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,"Unknown. Likely PDF or HTML / Under ""Current Opportunities"""
,Township of Dorion,municipality,https://doriontownship.ca/,https://doriontownship.ca/township/employment,https://doriontownship.ca/application/files/6716/9582/5865/Spare_Custodian_-_Website.pdf,pdf,pdf,0.85,html_a_href,2026-02-23,redirect chain: pdf path detected via a_href,0,"Link to PDF under ""Opportunities"""
,Township of Dubreuilville,municipality,https://dubreuilville.ca/,https://dubreuilville.ca/en/business/tenders-request-for-proposals-employment-opportunities,https://dubreuilville.ca/en/business/tenders-request-for-proposals-employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,Unknown. Likely PDF or HTML
,Eagle Lake,first_nation,https://eaglelakefn.ca/,https://eaglelakefn.ca/employment,https://eaglelakefn.ca/wp-content/uploads/2026/01/prevention-worker.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF via button. Do Not Include: ""GCT3 Employment"" and ""CMO Employment"""
,Township of Ear Falls,municipality,https://ear-falls.com/,https://ear-falls.com/residents/employment-opportunities/,https://ear-falls.com/wp-content/uploads/2023/11/Employment-Application-Regular.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Unknown. Likely PDF or HTML
,Municipality of East Ferris,municipality,https://eastferris.ca/en,https://eastferris.ca/en/your-government/employment-opportunities,https://eastferris.ca/en/your-government/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely PDF or HTML
,"Township of Macdonald, Meredith & Aberdeen Add'l",municipality,https://echobay.ca/,https://echobay.ca/career-opportunities/,https://echobay.ca/career-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,PDF image of job posting
,Township of James,municipality,https://elklake.ca/,https://elklake.ca/employment,https://elklake.ca/employment,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely PDF or HTML
,Township of Emo,municipality,https://emo.ca/,https://emo.ca/tenders-careers/,https://emo.ca/wp-content/uploads/2026/01/CEO-Librarian-Job-Advertisement-and-Position-Description-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Township of Evanturel,municipality,https://evanturel.com/,,,,,,,,,1,
,Township of Faraday,municipality,https://faraday.ca/,https://faraday.ca/council/tenders-employment,https://faraday.ca/wp-content/uploads/2026/01/2026-Compliance-Notice.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF / Summarize Title / RFPs Included; Exempt ""Notice"", ""Disclosure"" -> Anything Non RFP, RFQ, Job-Related"
,Town of Fort Frances,municipality,https://fortfrances.ca/,https://fortfrances.ca/jobs,https://fortfrances.ca/sites/default/files/jobs/postings/tax_administrator_feb_2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to HTML
,Fort William,first_nation,https://fwfn.com/,https://fwfn.com/employment,https://fwfn.com/employment,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Link to HTML / ""VIEW POSTING"" button"
,Chippewas of Georgina Island,first_nation,https://georginaisland.com/,https://georginaisland.com/community-services/human-resources/,https://georginaisland.com/wp-content/uploads/2025/06/Business-and-Economic-Development-Manager-job-posting.June-4-2025.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF under ""Job Postings"""
,Grassy Narrows First Nation,first_nation,https://gnfn.ca/,https://gnfn.ca/careers/,https://gnfn.ca/wp-content/uploads/2025/10/ji-poster-4.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Drop Down Menu
,City of Guelph,municipality,https://guelph.ca/,https://careers-guelph.icims.com/jobs/intro,https://careers-guelph.icims.com/jobs/intro,ats_icims,icims,0.98,url_pattern,2026-02-23,matched icims domain,0,"ICIMS ATS; Embeded List -> Navigation, If Relevant, to Page"
,Village of Hilton Beach,municipality,https://hiltonbeach.com/,,,,,,,,,1,
,Municipality of Huron Shores,municipality,https://huronshores.ca/,https://huronshores.ca/business/employment,https://huronshores.ca/wp-content/uploads/2024/05/24-12-Recreation-Vehicle-License-Application-Schedule-B-Fillable.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Unknown. Likely PDF or HTML
,Town of Innisfil,municipality,https://innisfil.ca/en/index.aspx,https://innisfil.hua.hrsmart.com/hr/ats/JobSearch/viewAll,https://innisfil.hua.hrsmart.com/hr/ats/JobSearch/viewAll,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,HRsmart ATS; Embeded List
,City of Ottawa,municipality,https://ottawa.ca/en,https://jobs-emplois.ottawa.ca/city-jobs/search/?createNewAlert=false&q=&optionsFacetsDD_department=&optionsFacetsDD_facility=&optionsFacetsDD_customfield1=,https://jobs-emplois.ottawa.ca/city-jobs/search?createNewAlert=false&q=&optionsFacetsDD_department=&optionsFacetsDD_facility=&optionsFacetsDD_customfield1=,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"SAPSF ATS; Embeded List -> Navigation, If Relevant, to Page"
,City of Quinte West,municipality,https://quintewest.ca/,https://jobs.dayforcehcm.com/en-CA/quintewest/CANDIDATEPORTAL,https://jobs.dayforcehcm.com/en-CA/quintewest/CANDIDATEPORTAL,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Dayforce ATS; Embeded List -> Navigation, If Relevant, to Page"
,City of Kitchener,municipality,https://www.kitchener.ca/,https://jobs.kitchener.ca/,https://jobs.kitchener.ca/,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"SAPSF ATS; Embeded List -> Navigation, If Relevant, to Page"
,City of Toronto,municipality,https://www.toronto.ca/,https://jobs.toronto.ca/jobsatcity/search/,https://jobs.toronto.ca/jobsatcity/search,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"SAPSF ATS; Embeded List -> Navigation, If Relevant, to Page via ""More Search Results"" button"
,Township of Jocelyn,municipality,https://jocelyn.ca/,https://jocelyn.ca/employment-opportunities,https://jocelyn.ca/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely PDF or HTML
,Township of Johnson,municipality,https://johnsontownship.ca/,,,,,,,,,1,
,Chippewas of Kettle and Stony Point,first_nation,https://kettlepoint.org/,https://kettlepoint.org/employment-opportunities/,http://kettlepoint.org/wp-content/uploads/2026/02/Job-Posting-Assistant-School-Cook-1.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Lac Seul,first_nation,https://lacseulfn.org/,https://lacseulfn.org/careers,https://lacseulfn.org/careers,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Link to HTML; Embeded List -> Navigation, If Relevant, to Page via ""Load more listings"""
,County of Lennox and Addington,municipality,https://lennox-addington.on.ca/,https://lennox-addington.on.ca/careers/job-postings/,https://lennox-addington.on.ca/careers/job-postings,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,StarGarden ATS; Link to HTML; Embeded List
,Township of Limerick,municipality,https://limerick.ca/,https://limerick.ca/businesses-government/job-opportunities,https://limerick.ca/businesses-government/job-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Unknown. Likely LInk to PDF under ""EMPLOYMENT WITH THE TOWNSHIP OF LIMERICK"""
,City of London,municipality,https://london.ca/,https://careers.london.ca/search/?createNewAlert=false&q=&optionsFacetsDD_shifttype=,https://careers.london.ca/search?createNewAlert=false&q=&optionsFacetsDD_shifttype=,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"SAPSF ATS; Embeded List -> Navigation, If Relevant, to Page"
,Township of Madoc,municipality,https://madoc.ca/,https://madoc.ca/council/employment,https://madoc.ca/wp-content/uploads/2024/11/Volunteer-Fire-Fighter-Job-Description.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF via dropdown menu. Do not incldue ""VOLUNTEER"""
,Municipality of Magnetawan,municipality,https://magnetawan.com/,https://magnetawan.com/government/employment-opportunities,https://magnetawan.com/government/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely Link to PDF or HTML
,Township of Front of Yonge,municipality,https://mallorytown.ca/,https://mallorytown.ca/employment-opportunities/,https://mallorytown.ca/employment-opportunities,unknown,generic,0.20,failed_request,2026-02-23,all URL variants failed,1,Unknown. Likely Link to PDF or HTML
,Township of Mapleton,municipality,https://mapleton.ca/,https://mapleton.ca/services/employment,https://mapleton.ca/content/township-services/mapleton-co-op-student-job-posting-internal.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Municipality of Markstay-Warren,municipality,https://markstay-warren.ca/,https://markstay-warren.ca/opportunities/employment-opportunities,https://markstay-warren.ca/opportunities/employment-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Link to HTML. Do not incldue ""CLOSED"""
,Municipality of Marmora and Lake,municipality,https://marmoraandlake.ca/,https://marmoraandlake.ca/careers,https://drive.google.com/file/d/1axXqrDGemukGxexNVXS8YcI3y5mC2Et4/view?usp=sharing,ats_utipro,utipro,0.92,html_a_href,2026-02-23,matched ultipro/ukg recruiting via a_href,0,Link to HTML
,Marten Falls First Nation,first_nation,https://martenfalls.com/,https://martenfalls.com/job-postings/,https://martenfalls.com/wp-content/uploads/2025/07/MFFN-UPDATED-Coordinator-of-Mental-Health-and-Addiction-Services-Job-Posting.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Township of Mattawan,municipality,https://mattawan.ca/,,,,,,,,,1,
,Mohawks of the Bay of Quinte,first_nation,https://mbq-tmt.org/,https://mbq-tmt.org/job-opportunities/,https://mbq-tmt.org/job-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Link to HTML Hyperlink, See After ""Position Tittle"""
,Bay of Quinte Mohawk,first_nation,https://mbq-tmt.org/,https://mbq-tmt.org/job-opportunities/,https://mbq-tmt.org/job-opportunities,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,"Link to HTML Hyperlink, See After ""Position Tittle"""
,Township of McGarry,municipality,https://mcgarry.ca/,https://mcgarry.ca/employment-opportunities,https://mcgarry.ca/employment-opportunities,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely PDF or HTML
,M'Chigeeng First Nation,first_nation,https://mchigeeng.ca/,https://mchigeeng.ca/employment/,https://mchigeeng.ca/employment,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Link to HTML
,Township of McNab-Braeside,municipality,https://mcnabbraeside.com/,https://mcnabbraeside.com/careers,https://mcnabbraeside.com/careers,unknown,generic,0.30,fallback_unknown,2026-02-23,unable to classify; requires manual review,1,Unknown. Likely PDF or HTML
,Township of Melancthon,municipality,https://melancthontownship.ca/,https://melancthontownship.ca/municipal-services/employment-opportunity,https://melancthontownship.ca/wp-content/uploads/2016/11/commissioner-for-taking-oaths.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Unknown. Likely PDF or HTML
,Michipicoten,first_nation,https://michipicoten.com/,https://michipicoten.com/aboriginal-job-opportunities,https://michipicoten.com/wp-content/uploads/2026/02/JP.-HSS-Manager-Feb-10-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,"Link to PDF; Only List Positions Under ""Current career opportunities with Michipicoten First Nation:"""
,Mishkeegogamang,first_nation,https://mishkeegogamang.ca/,,,,,,,,,1,
,Mitaanjigamiing First Nation,first_nation,https://mitaanjigamiing.ca/,https://mitaanjigamiing.ca/jobs/,https://mitaanjigamiing.ca/wp-content/uploads/2026/01/Homemaker-Personal-Support-Worker.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to PDF
,Mississaugas of the Credit,first_nation,https://mncfn.ca/,https://mncfn.ca/job-board/,https://recruiting.ultipro.ca/YMC5004YMHB/JobBoard/6fe470e5-5c14-4348-89dd-54fa612e9d39/OpportunityDetail?opportunityId=c2a192d8-bd21-4713-917d-305ccf38b6d7,ats_utipro,utipro,0.92,html_a_href,2026-02-23,matched ultipro/ukg recruiting via a_href,0,"Unknown; Only List Positions Under ""MCFN Employment Opportunities"" Dropdown Menu"
,Municipality of Morris-Turnberry,municipality,https://morristurnberry.ca/,https://morristurnberry.ca/government/employment,https://morristurnberry.ca/content/government/2022-municipal-election/results-3.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,Link to HTML
,Township of Mulmur,municipality,https://mulmur.ca/,https://mulmur.ca/work/employment,https://mulmur.ca/content/work/employment/administrative-assistant-summer-student-job-description-2026.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,
,Naicatchewenin,first_nation,https://naicatcheweninfirstnation.ca/,https://naicatcheweninfirstnation.ca/employment,https://naicatcheweninfirstnation.ca/employment,html_list,html_list,0.68,html_parse,2026-02-23,job-like links found on landing page,0,
,Township of Nairn & Hyman,municipality,https://nairncentre.ca/,https://nairncentre.ca/municipal-services/job-opportunities,https://nairncentre.ca/wp-content/uploads/2017/12/ApplicationForEmployment.pdf,pdf,pdf,0.75,html_a_href,2026-02-23,pdf path detected via a_href,0,
